income,credit_score,loan_amount,points,loan_approved
113810,389,39698,50.0,False
44592,729,15446,55.0,False
33278,584,11189,45.0,False
127196,344,48823,50.0,False
66048,496,47174,25.0,False
62098,689,19217,65.0,True
59256,373,40920,35.0,False
48289,524,45866,25.0,False
126530,367,14826,55.0,False
43434,446,18359,20.0,False
118696,670,15373,75.0,True
127080,365,26216,55.0,False
146939,573,43006,50.0,False
101482,819,7973,100.0,True
41395,843,1037,80.0,True
107397,380,6613,60.0,True
85302,469,18370,50.0,False
34165,682,29711,50.0,False
33905,525,1471,30.0,False
42280,543,19250,25.0,False
58657,716,13478,65.0,True
60495,400,4972,50.0,False
96237,443,28648,45.0,False
108907,400,4315,60.0,True
33478,792,15008,60.0,True
103563,592,28722,65.0,True
56062,362,21552,30.0,False
123850,382,13178,45.0,False
115181,383,28474,55.0,False
121924,434,45019,50.0,False
101426,402,5801,60.0,True
84987,748,36600,75.0,True
58893,406,9800,45.0,False
88878,651,14342,65.0,True
107236,345,1232,60.0,True
66463,309,8331,35.0,False
136093,451,29166,50.0,False
143940,405,24178,55.0,False
30851,481,28020,10.0,False
129458,573,11433,55.0,False
135620,658,21000,70.0,True
50926,659,43040,50.0,False
121506,482,39049,50.0,False
85392,418,26244,45.0,False
74597,638,41839,50.0,False
66421,712,46692,60.0,True
50379,608,27612,50.0,False
58221,518,34500,35.0,False
130072,395,16392,55.0,False
74118,374,30846,35.0,False
43396,451,43995,10.0,False
42156,775,4291,70.0,True
79797,624,30004,60.0,True
42676,760,17986,60.0,True
77052,750,6077,90.0,True
141082,456,47295,50.0,False
75082,698,39278,50.0,False
109131,729,36272,75.0,True
64671,698,23028,65.0,True
135791,385,43123,50.0,False
35695,634,23118,40.0,False
125647,353,23935,55.0,False
90217,456,16633,45.0,False
100284,471,40707,45.0,False
46361,326,21444,25.0,False
79615,548,7678,55.0,False
40328,370,34158,25.0,False
102357,456,29540,50.0,False
68427,574,22122,40.0,False
138711,688,23046,65.0,True
112397,310,34857,50.0,False
111070,802,30371,75.0,True
146057,784,37272,85.0,True
142945,613,17475,70.0,True
77400,795,19120,85.0,True
105674,669,12759,70.0,True
55203,802,7723,70.0,True
122349,789,8476,85.0,True
39116,611,6582,50.0,False
36006,761,30014,60.0,True
116673,512,41993,50.0,False
59871,781,20087,65.0,True
131327,570,41963,50.0,False
67930,572,10321,35.0,False
40458,611,46857,40.0,False
142108,630,40564,65.0,True
60512,341,12481,45.0,False
143571,393,31802,55.0,False
43238,807,19888,65.0,True
79823,713,34724,50.0,False
66434,810,41986,75.0,True
89429,424,2891,55.0,False
113320,416,31241,45.0,False
139328,725,32621,80.0,True
77819,724,23274,70.0,True
51319,795,23618,70.0,True
78520,692,16306,75.0,True
76566,807,3426,90.0,True
57460,315,48346,30.0,False
117841,646,41845,65.0,True
64993,336,41465,25.0,False
121988,400,42533,45.0,False
119593,667,25565,70.0,True
114939,691,41613,75.0,True
39358,461,5840,35.0,False
109840,609,14055,70.0,True
113227,322,44137,50.0,False
52431,535,40784,35.0,False
100010,340,21246,55.0,False
125568,479,14159,50.0,False
62087,793,20342,75.0,True
51417,706,37524,60.0,True
90589,690,42847,65.0,True
79735,364,42641,40.0,False
65382,611,33284,45.0,False
113886,729,39491,70.0,True
120198,333,46238,50.0,False
103000,667,4968,75.0,True
58785,321,4314,50.0,False
119733,521,16269,55.0,False
72504,433,36403,35.0,False
140474,543,39591,50.0,False
130704,787,30378,90.0,True
131711,608,31018,55.0,False
37331,375,6294,35.0,False
60021,601,30734,50.0,False
137715,533,28119,55.0,False
34207,683,11003,55.0,False
135518,361,39434,50.0,False
71347,594,40348,50.0,False
82581,658,37455,55.0,False
65093,326,40911,35.0,False
38675,446,38114,25.0,False
57653,729,30730,60.0,True
149686,383,18832,55.0,False
104341,416,23621,55.0,False
144867,356,1503,60.0,True
124098,307,33596,50.0,False
71245,746,2228,85.0,True
57869,596,8548,60.0,True
115909,390,29620,45.0,False
95435,526,22827,50.0,False
81856,451,16484,45.0,False
145957,775,37944,85.0,True
149871,454,29820,45.0,False
114259,772,30616,75.0,True
90142,773,39032,75.0,True
48726,813,10886,65.0,True
64718,553,47374,35.0,False
48301,353,42345,25.0,False
62325,641,6341,60.0,True
127647,617,37629,65.0,True
103579,670,2194,85.0,True
100644,458,6057,60.0,True
64438,685,11109,70.0,True
127912,720,24874,80.0,True
106622,616,31737,65.0,True
86155,814,35567,80.0,True
147679,792,25327,90.0,True
106484,579,30446,50.0,False
82350,657,2747,70.0,True
77447,401,47838,40.0,False
58746,780,30399,70.0,True
48131,840,28738,60.0,True
96784,768,5116,85.0,True
94686,739,1102,80.0,True
41915,838,36656,65.0,True
129061,682,17623,65.0,True
36175,436,3905,35.0,False
142866,486,9837,50.0,False
44371,342,21682,25.0,False
50033,592,24394,40.0,False
112240,750,26339,90.0,True
50969,380,29220,35.0,False
133819,756,40493,85.0,True
119192,581,42908,55.0,False
85333,748,3280,85.0,True
108172,457,45503,45.0,False
38326,621,43569,40.0,False
80432,420,18155,50.0,False
80019,375,30625,45.0,False
108104,597,20657,70.0,True
91348,505,10101,50.0,False
99352,432,41104,35.0,False
62953,375,9213,45.0,False
102512,486,9456,60.0,True
142824,630,47486,65.0,True
31504,581,9203,45.0,False
119166,457,12219,55.0,False
124466,346,43038,50.0,False
45014,596,43068,40.0,False
119353,725,32735,75.0,True
145970,708,9569,85.0,True
100381,399,4316,60.0,True
128419,620,13440,70.0,True
64973,520,39230,35.0,False
130741,410,29241,50.0,False
114012,499,24758,55.0,False
74587,431,7336,50.0,False
44621,821,27305,65.0,True
68469,827,10160,85.0,True
86985,821,35887,80.0,True
50730,726,39253,60.0,True
89470,533,48277,30.0,False
30425,332,38523,20.0,False
124646,813,41073,90.0,True
144799,632,44399,65.0,True
124329,795,13600,90.0,True
64522,800,21777,80.0,True
95612,688,26856,70.0,True
129871,654,29991,70.0,True
53416,440,8158,45.0,False
96542,402,28086,45.0,False
149619,716,43787,75.0,True
43947,391,43749,25.0,False
144100,337,27017,55.0,False
111959,605,38221,65.0,True
69117,816,31672,75.0,True
140319,314,49274,50.0,False
113748,715,29029,75.0,True
96540,554,1447,55.0,False
109818,311,18141,55.0,False
56071,618,46238,45.0,False
50032,789,11039,80.0,True
79009,553,45586,40.0,False
129943,414,5047,60.0,True
51174,752,8617,80.0,True
100697,435,34636,50.0,False
132056,560,1197,60.0,True
99514,783,3079,90.0,True
30074,759,25739,60.0,True
108504,421,12696,55.0,False
72487,774,45138,70.0,True
94042,493,48515,35.0,False
32552,334,30257,25.0,False
44662,522,4699,30.0,False
77576,542,20776,40.0,False
145175,807,4072,100.0,True
139008,452,20653,55.0,False
135745,447,31344,45.0,False
70306,508,22644,35.0,False
61385,340,5769,50.0,False
37592,640,20869,25.0,False
61571,706,16684,65.0,True
145082,825,33589,95.0,True
104364,620,28127,55.0,False
40322,727,20345,45.0,False
41226,645,17864,40.0,False
125932,473,10172,60.0,True
93699,349,1418,55.0,False
136957,766,25458,80.0,True
39071,306,35879,25.0,False
129693,483,8013,55.0,False
99822,706,6178,80.0,True
130379,382,43843,40.0,False
46483,384,33758,25.0,False
46828,516,46369,25.0,False
116474,333,12754,55.0,False
92296,466,37959,40.0,False
102063,380,33819,50.0,False
51643,634,2941,65.0,True
64741,742,13172,80.0,True
99163,574,11107,50.0,False
144351,305,21202,55.0,False
109507,824,27741,85.0,True
85461,598,28119,60.0,True
57760,689,12108,65.0,True
100686,606,32734,55.0,False
128994,768,8010,90.0,True
125673,750,22937,90.0,True
120422,505,32392,50.0,False
56365,633,25645,50.0,False
123447,484,45676,50.0,False
70857,370,27813,40.0,False
82296,686,5847,80.0,True
118039,849,39916,90.0,True
115180,709,22731,80.0,True
78944,774,45535,75.0,True
87422,387,8606,50.0,False
147914,748,48316,85.0,True
97839,468,49528,40.0,False
89177,714,42271,65.0,True
45860,698,1291,65.0,True
62493,491,24972,40.0,False
59451,697,41062,60.0,True
38392,604,41270,40.0,False
74313,444,34477,35.0,False
32757,477,37366,25.0,False
107110,796,9947,95.0,True
102603,725,47539,70.0,True
60161,850,19918,80.0,True
107128,416,18556,55.0,False
58864,523,28862,30.0,False
30942,749,8693,65.0,True
39305,511,14562,20.0,False
122778,599,19961,70.0,True
112719,360,19174,50.0,False
37716,801,10317,70.0,True
60007,712,34791,60.0,True
38834,395,48902,25.0,False
148675,516,33421,55.0,False
34117,651,45731,30.0,False
142674,751,30918,75.0,True
73309,395,43899,35.0,False
39287,612,48578,40.0,False
97391,531,35042,45.0,False
61195,372,16004,40.0,False
66500,691,9725,65.0,True
117684,518,42161,45.0,False
93624,443,9071,55.0,False
58080,386,17263,40.0,False
100678,510,34931,50.0,False
47342,806,26289,60.0,True
124811,730,24947,80.0,True
145655,568,15138,45.0,False
104847,725,28759,75.0,True
105525,823,14316,90.0,True
91953,359,17022,45.0,False
61850,422,1830,45.0,False
132841,575,49033,45.0,False
91993,378,33515,45.0,False
135840,405,38611,45.0,False
83354,692,10835,75.0,True
54957,726,48204,60.0,True
42363,347,27275,15.0,False
42704,767,1522,75.0,True
116374,805,13807,95.0,True
86498,654,42677,40.0,False
76438,543,28513,45.0,False
85519,832,28070,85.0,True
83883,376,39790,40.0,False
91213,702,46922,65.0,True
